473,,ふじや食品,まる得大陸肉ぎょうざ10粒,150g,86,133,47,35.34,7日,─,小麦,309/1袋,全日本食品,①,,473,12,22,121,68,10,7
474,,浪漫亭,ふわパリ皮の生餃子,15g*10,85,123,38,30.89,4日,─,小麦・乳,34/1個,全日本食品,,,474,135,22,121,68,10,7
475,,浪漫亭,菜菜ちゃん生餃子,15g*10,78,123,45,36.59,4日,─,小麦・乳,35/1個,全日本食品,,,475,258,22,121,68,10,7
476,,東洋水産,黒豚ギョーザ 12個,204g,150,218,68,31.19,9日,─,卵・小麦・えび,438/1袋,全日本食品,,,476,381,22,121,68,10,7
477,,東洋水産,黒豚しゅうまい 8個,144g,147,218,71,32.57,15日,─,乳・小麦,276/1袋,全日本食品,②,,477,12,90,121,68,10,7
478,,楽陽食品,赤箱焼売,12粒,80,123,43,34.96,6日,─,小麦,279/1ﾊﾟｯｸ,全日本食品,,,478,135,90,121,68,10,7
479,,東洋水産,えびシュウマイ,8個,131,189,58,30.69,15日,─,卵・乳・小麦・えび,127/4個,全日本食品,,,479,258,90,121,68,10,7
480,,日本ハム,天津閣ニラ焼餅,232g,268,368,100,27.17,8日,─,小麦・卵・乳,532/袋(ﾀﾚ含む),全日本食品,,,480,381,90,121,68,10,7
481,,石井食品,チキンハンバーグ,90g,67,95,28,29.47,30日,─,小麦,156/1袋,全日本食品,③,,481,12,159,121,68,10,7
482,,石井食品,ミートボール,120g,81,123,42,34.15,30日,─,小麦,192/1袋,全日本食品,,,482,135,159,121,68,10,7
483,,マルシンフーズ,ハンバーグ　袋,85g,58,85,27,31.76,20日,─,乳・小麦,206/1袋,全日本食品,,,483,258,159,121,68,10,7
484,,デルシー,ハンバーグステーキ,130g,130,189,59,31.22,45日,─,小麦・卵・乳,190/1袋,全日本食品,,,484,381,159,121,68,10,7
485,,フジフレッシュフーズ,緑黄野菜豆腐ハンバーグ　,1個,80,123,43,34.96,26日,─,─,77/1袋,全日本食品,④,,485,12,228,121,68,10,7
486,,フジフレッシュフーズ,じゃこわかめ豆腐ハンバーグ　,1個,80,123,43,34.96,26日,─,小麦,84/1袋,全日本食品,,,486,135,228,121,68,10,7
487,,ふじや食品,レンジミニグラタン　エビ,100g,90,138,48,34.78,5日,─,小麦・乳・えび,100/100g,全日本食品,,,487,258,228,242,68,10,7
488,,ふじや食品,レンジミニグラタン　コーン,100g,90,138,48,34.78,5日,─,小麦・乳,104/100g,全日本食品,,,488,258,228,242,68,10,7
489,,ふじや食品,レンジミニグラタン　かに風味,100g,90,138,48,34.78,5日,─,小麦・乳・かに,102/100g,全日本食品,,,489,258,228,242,68,10,7
490,,日本ハム,チキンナゲット,154g,188,275,87,31.64,22日,─,乳・卵・小麦,49/1個,全日本食品,⑤,,490,12,297,121,68,10,7
491,,日本ハム,中華名菜　八宝菜　2～3人前,370g,225,348,123,35.34,45日,─,小麦・卵・乳,227/1袋,全日本食品,,,491,135,297,182,68,10,7
492,,日本ハム,中華名菜　エビチリ　2～3人前,260g,225,348,123,35.34,45日,─,小麦・卵・乳・えび,398/1袋,全日本食品,,,491,135,297,182,68,10,7
493,,日本ハム,石窯工房マルゲリータミニピザ,168g,258,388,130,33.51,15日,─,乳・小麦,145/1枚,全日本食品,,,493,319,297,182,68,10,7
494,,日本ハム,石窯工房あらびきミニピザ,183g,258,388,130,33.51,15日,─,乳・小麦,164/1枚,全日本食品,,,493,319,297,182,68,10,7
495,,ふじや食品,越前茶わんむし　松茸,160g,67,96,29,30.21,20日,─,小麦・卵,54/1個,全日本食品,⑥,,495,12,366,252,68,10,7
496,,ふじや食品,越前茶わんむし　海老,160g,67,96,29,30.21,20日,─,小麦・卵・えび,53/1個,全日本食品,,,495,12,366,252,68,10,7
497,,ふじや食品,越前茶わんむし　かに,160g,67,96,29,30.21,20日,─,小麦・卵・かに,55/1個,全日本食品,,,495,12,366,252,68,10,7
498,,みやけ食品,能登の厚焼ロング,300g,178,248,70,28.23,14日,─,卵,136/100g,全日本食品,,,498,258,366,121,68,10,7
499,,堀川,玉子とうふ3P,(玉子とうふ70g、たれ7g)*3,68,95,27,28.42,15日,─,小麦・卵,35/1食,全日本食品,,,499,381,366,121,68,10,7
500,,ナカヤマエッグ,白玉たまごLサイズ,１０個入,158,218,60,27.52,14日,─,卵,151/100g,ナカヤマエッグ,⑦,,500,12,435,121,68,10,7
501,,ナカヤマエッグ,白玉たまごLサイズ,6個入,99,138,39,28.26,14日,─,卵,151/100g,ナカヤマエッグ,,,501,135,435,121,68,10,7
502,,サンライフ,能登地鶏自然卵,6個,250,355,105,29.58,14日,─,卵,136/100g,全日本食品,,,502,258,435,121,68,10,7
503,,高岡鶏卵,温泉たまご,4個,115,142,27,19.01,8日,─,卵,151/100g,全日本食品,,,503,381,435,121,68,10,7
504,,雪印メグミルク,雪印ネオソフト,300g,168,238,70,29.41,240日,─,乳,638/100g,全日本食品,⑧,,504,12,504,121,68,10,7
505,,雪印メグミルク,雪印北海道バター(10gに切れてる),100g,186,265,79,29.81,150日,─,乳,73/10枚,全日本食品,,,505,135,504,121,68,10,7
506,,明治,チューブでバター1/3,160g,189,265,76,28.68,180日,─,乳,690/100g,全日本食品,,,506,258,504,121,68,10,7
507,,雪印メグミルク,粉チーズ　マイルド,140g,186,265,79,29.81,1年,─,乳,26/5g,全日本食品,,,507,381,504,121,68,10,7
508,,森永乳業,クラフト　切れてるチーズ,148g,204,288,84,29.17,180日,─,乳,27/1枚,全日本食品,⑨,,508,12,573,121,68,10,7
509,,六甲バター,ベビーチーズ,15g*4,96,133,37,27.82,270日,─,乳,50/1個,全日本食品,,,509,135,573,121,68,10,7
510,,雪印メグミルク,スライスチーズ５枚,85ｇ,150,208,58,27.88,270日,─,乳,56/1枚,全日本食品,,,510,258,573,121,68,10,7
511,,雪印メグミルク,とろけるスライス５枚,85ｇ,150,208,58,27.88,210日,─,乳,57/1枚,全日本食品,,,511,381,573,121,68,10,7
512,,名古屋製酪,粒入りコーンポタージュ　2～3人用,500g,146,208,62,29.81,60日,─,小麦・乳,81/100g,全日本食品,⑩,,512,12,640,121,68,10,7
513,,名古屋製酪,パンプキンポタージュ　2～3人用,500g,146,208,62,29.81,60日,─,小麦・乳,66/100g,全日本食品,,,513,135,640,121,68,10,7
514,,名古屋製酪,スジャータ　シュガーシロップ　10P,13g*10,86,118,32,27.12,360日,─,─,36/1個,全日本食品,,,514,258,640,121,68,10,7
515,,名古屋製酪,ﾆｭｰｽｼﾞｬｰﾀP 3mlX20,3ml*20,81,123,42,34.15,60日,─,乳,9/1個,全日本食品,,,515,381,640,121,68,10,7
