43,,日本ﾊﾑ,シャウエッセン,127ｇ*2,330,418,88,21.05,30日,─,─,311/100g,全日本食品,,,,,43,891,191,128,65,1,2
44,,和歌山県産他,柿　種なし,中玉１ヶ,70,95,25,26.32,─,─,─,60/100g,江口青果,,,,,44,763,255,128,131,1,1
45,,石川県産他,新高梨,大玉１ヶ,180,238,58,24.37,─,─,─,43/100g,江口青果,,,,,46,891,255,128,131,1,1
46,,長野県産他,巨峰,秀2L,300,398,98,24.62,─,─,─,59/100g,江口青果,,,,,45,763,362,128,65,1,1
47,,青森県産他,弘前ふじりんご,中玉１ヶ,100,135,35,25.93,─,─,─,54/100g,江口青果,,,,,47,891,362,128,65,1,1
48,,ニュージーランド産,キウイ,大玉１ヶ,85,115,30,26.09,─,─,─,53/100g,江口青果,,,,,49,763,422,128,65,1,1
49,,フィリピン産,バナナ,3本,130,168,38,22.62,─,─,─,86/100g,江口青果,,,,,48,891,422,128,65,1,1
50,,北海道,大根,L1/2本,90,120,30,25,─,─,─,18/100g,江口青果,,,,,50,510,482,128,131,1,1
51,,北海道,人参,L１本,50,73,23,31.51,─,─,─,37/100g,江口青果,,,,,51,639,482,128,131,1,1
52,,北海道,人参,L３本,150,198,48,24.24,─,─,─,37/100g,江口青果,,,,,51,639,482,128,131,1,1
53,,岐阜,ほうれん草,１袋,150,198,48,24.24,─,─,─,20/100g,江口青果,,,,,53,763,482,64,131,1,1
54,,石川,小松菜,１袋,120,163,43,26.38,─,─,─,14/100g,江口青果,,,,,54,827,482,64,131,1,1
55,,富山,ねぎ,１束,140,188,48,25.53,─,─,─,28/100g,江口青果,,,,,55,891,482,64,131,1,1
56,,グリーンネット,春菊,L1束,180,248,68,27.42,─,─,─,22/100g,グリーンネット,,,,,56,951,482,64,131,1,1
57,,兵庫,レタス,L1/2カット,100,143,43,30.07,─,─,─,12/100g,江口青果,,,,,57,510,602,64,131,1,1
58,,長野,キャベツ,1/2カット,100,143,43,30.07,─,─,─,23/100g,江口青果,,,,,57,510,602,64,131,1,1
59,,兵庫,サニーレタス,L1/2カット,75,108,33,30.56,─,─,─,16/100g,江口青果,,,,,57,510,602,128,131,1,1
60,,長野,白菜,1/4カット,100,143,43,30.07,─,─,─,14/100g,江口青果,,,,,60,639,602,128,131,1,1
61,,グリーンネット,かぶら,3L1ヶ,75,100,25,25,─,─,─,20/100g,グリーンネット,,,,,60,639,602,128,131,1,1
62,,愛知,ブロッコリー,L1ヶ,200,268,68,25.37,─,─,─,33/100g,江口青果,,,,,60,639,602,128,131,1,1
63,,石川,トマト,中玉１ヶ,120,163,43,26.38,─,─,─,19/100g,江口青果,,,,,63,763,602,64,131,1,1
64,,愛知,ミニトマト,M1パック,200,268,68,25.37,─,─,─,29/100g,江口青果,,,,,64,827,602,64,131,1,1
65,,石川,さつまいも,秀M１本,120,163,43,26.38,─,─,─,132/100g,江口青果,,,,,65,891,602,64,131,1,1
66,,高知,ゆず,中玉1ヶ,150,198,48,24.24,─,─,─,59/100g,江口青果,,,,,66,951,602,64,131,1,1
70,,北海道,メークイン,LM700g,150,198,48,24.24,─,─,─,76/100g,江口青果,,,,,70,0,0,62,117,2,1
71,,北海道,玉ねぎ,大３ヶネット,150,198,48,24.24,─,─,─,37/100g,江口青果,,,,,71,71,0,62,117,2,1
72,,青森,ごぼう,M2本,250,348,98,28.16,─,─,─,65/100g,江口青果,,,,,72,132,0,62,117,2,1
73,,北海道,かぼちゃ,1/4カット,100,143,43,30.07,─,─,─,91/100g,江口青果,,,,,73,196,0,62,117,2,1
74,,高知,ピーマン,１袋,120,163,43,26.38,─,─,─,22/100g,江口青果,,,,,74,258,0,62,117,2,1
75,,熊本,長なす,秀2L2本,150,198,48,24.24,─,─,─,22/100g,江口青果,,,,,75,322,0,62,117,2,1
76,,高知,しょうが,100ｇ,110,148,38,25.68,─,─,─,30/100g,江口青果,,,,,76,386,0,62,117,2,1
77,,富山,なめこ,100ｇ,80,108,28,25.93,─,─,─,15/100g,江口青果,,,,,77,447,0,62,117,2,1
78,,長野,えのき,200ｇ,100,135,35,25.93,─,─,─,22/100g,江口青果,,,,,78,0,126,62,117,2,1
79,,グリーンネット,えのき,100ｇ,50,73,23,31.51,─,─,─,22/100g,グリーンネット,,,,,78,0,126,62,117,2,1
80,,長野,エリンギ,100ｇ,90,120,30,25,─,─,─,24/100g,江口青果,,,,,80,71,126,62,117,2,1
81,,雪国,まいたけ,100ｇ,120,163,43,26.38,─,─,─,16/100g,江口青果,,,,,81,132,126,62,117,2,1
82,,長野,ぶなしめじ,200ｇ,110,148,38,25.68,─,─,─,18/100g,江口青果,,,,,82,196,126,62,117,2,1
83,,富山,しいたけ,混合,100,138,38,27.54,─,─,─,18/100g,江口青果,,,,,83,258,126,62,117,2,1
84,,グリーンネット,かぼちゃ角切り,180ｇ,80,113,33,29.2,3日,─,─,91/100g,グリーンネット,,,,,84,322,126,311,254,2,1
