1142,4104-02
1143,4113-02
1144,4562-01
1145,4110-04
1146,4111-03
1147,6891-03
1148,3221
1149,3222
1150,4119-03
1151,3223
1152,3224
1153,3225
1154,4114-06
1155,4118-06
1156,3226
1157,4115-03
1158,4116-06
1159,7454-01
1161,4120-02
1162,3227
1163,3228
1164,3229
1165,3230
1166,3231
1167,3232
1168,4123-03
1169,7247-02
1170,7633-01
1171,3233
1172,4125-06
1173,4127-05
1174,3234
1175,4500-02
1176,4128-02
1177,4129-02
1178,4121-03
1179,7127-01
1180,4126-02
1181,6899-02
1182,3179-01
1183,3235
1184,3236
1185,4122-05
1186,7126
1187,5076-04
1188,4138-03
1189,4131-03
1190,6017-01
1191,4137-04
1192,3237
1193,4499-01
1194,4132-03
1195,3238
1196,7128-01
1197,4133-02
1198,4134-02
1199,4135-02
1200,4136-02
1201,4142-02
1202,4443-04
1203,6989-02
1204,3721-02
1205,3906-05
1206,3718-04
1207,3719-04
1208,3720-03
1209,4279-14
1210,4280-15
1211,4144-09
1212,4145-11
1213,4761-06
1214,4146-16
1215,6022-05
1216,4851-02
1217,5859-02
1218,6482-02
1219,6904-02
1220,6905-02
1221,4150-02
1222,4151-02
