1,171,1982,17273,1,128340,2,201504,20150404,7,92,31,0,3,134,3,134,2,,,NAGATA-PC,kenkouya,37:16.0,,1
1,171,1990,17280,1,128341,2,201504,20150404,7,93,31,0,4,130,4,130,2,,,NAGATA-PC,kenkouya,37:18.1,,1
1,171,1994,17283,1,128343,2,201504,20150404,7,93,31,0,4,120,4,120,2,,,NAGATA-PC,kenkouya,37:20.4,,1
1,171,2008,17274,1,128346,2,201504,20150404,7,92,31,0,4,130,4,130,2,,,NAGATA-PC,kenkouya,37:22.8,,1
1,171,2049,17273,1,128347,2,201504,20150404,7,93,31,0,4,134,4,134,2,,,NAGATA-PC,kenkouya,37:28.8,,1
1,171,2359,17274,1,128353,2,201504,20150404,7,93,31,0,4,130,4,130,2,,,NAGATA-PC,kenkouya,37:37.2,,1
1,171,2470,17294,1,128354,2,201504,20150404,7,93,31,0,4,100,4,100,2,,,NAGATA-PC,kenkouya,37:37.7,,1
1,171,2480,17280,1,128355,2,201504,20150404,7,93,31,0,4,130,4,130,2,,,NAGATA-PC,kenkouya,37:40.5,,1
1,171,2486,17294,1,128357,2,201504,20150404,7,92,31,0,4,100,4,100,2,,,NAGATA-PC,kenkouya,37:41.8,,1
1,171,2493,17290,1,128358,2,201504,20150404,7,92,31,0,4,120,4,120,2,,,NAGATA-PC,kenkouya,37:43.5,,1
1,171,2503,17282,3,128362,2,201504,20150404,7,93,31,0,4,130,4,130,2,,,NAGATA-PC,kenkouya,37:51.6,,1
1,171,2506,17276,1,128363,2,201504,20150404,7,93,31,0,4,120,4,120,2,,,NAGATA-PC,kenkouya,37:54.1,,1
1,171,2506,17290,1,128364,2,201504,20150404,7,93,31,0,4,120,4,120,2,,,NAGATA-PC,kenkouya,37:54.1,,1
1,171,2509,17281,3,128366,2,201504,20150404,7,93,31,0,4,120,4,120,2,,,NAGATA-PC,kenkouya,37:56.6,,1
1,171,2512,17281,3,128367,2,201504,20150404,7,93,31,0,4,120,4,120,2,,,NAGATA-PC,kenkouya,37:57.9,,1
1,171,2515,17280,1,128368,2,201504,20150404,7,93,31,0,4,130,4,130,2,,,NAGATA-PC,kenkouya,37:58.8,,1
