201,1,0,0,0,0,0
202,1,0,0,0,0,0
203,1,0,0,0,0,0
204,1,0,0,0,0,0
205,1,0,0,0,0,0
206,1,0,0,0,0,0
207,1,0,0,0,0,0
208,1,0,0,0,0,0
209,1,0,0,0,0,0
210,1,0,0,0,0,0
211,1,0,0,0,0,0
212,1,0,0,0,0,0
213,1,0,0,0,0,0
214,1,0,0,0,0,0
215,1,0,0,0,0,0
216,1,0,0,0,0,0
217,1,0,0,0,0,0
218,1,0,0,0,0,0
219,1,0,0,0,0,0
220,1,0,0,0,0,0
221,1,0,0,0,0,0
222,1,0,0,0,0,0
223,1,0,0,0,0,0
224,1,0,0,0,0,0
225,1,0,0,0,0,0
226,1,0,0,0,0,0
227,1,0,0,0,0,0
228,1,0,0,0,0,0
229,1,0,0,0,0,0
230,1,0,0,0,0,0
231,1,0,0,0,0,0
232,1,0,0,0,0,0
233,1,0,0,0,0,0
234,1,0,0,0,0,0
235,1,0,0,0,0,0
236,1,0,0,0,0,0
237,1,0,0,0,0,0
238,1,0,0,0,0,0
239,1,0,0,0,0,0
240,1,0,0,0,0,0
241,1,0,0,0,0,0
242,1,320,160,160,45,1152000
243,1,0,0,0,0,0
251,1,0,0,0,0,0
252,1,0,0,0,0,0
253,1,0,0,0,0,0
254,1,0,0,0,0,0
255,1,0,0,0,0,0
256,1,0,0,0,0,0
257,1,0,0,0,0,0
258,1,0,0,0,0,0
259,1,0,0,0,0,0
260,1,0,0,0,0,0
261,1,0,0,0,0,0
262,1,0,0,0,0,0
263,1,0,0,0,0,0
264,1,0,0,0,0,0
265,1,0,0,0,0,0
266,1,0,0,0,0,0
267,1,0,0,0,0,0
268,1,0,0,0,0,0
269,1,0,0,0,0,0
270,1,0,0,0,0,0
271,1,0,0,0,0,0
272,1,0,0,0,0,0
273,1,0,0,0,0,0
274,1,0,0,0,0,0
275,1,0,0,0,0,0
276,1,0,0,0,0,0
277,1,0,0,0,0,0
278,1,0,0,0,0,0
279,1,42,130,120,5,78000
280,1,0,0,0,0,0
281,1,0,0,0,0,0
282,1,0,0,0,0,0
283,1,0,0,0,0,0
284,1,0,0,0,0,0
285,1,54,130,120,20,312000
286,1,0,0,0,0,0
287,1,0,0,0,0,0
288,1,0,0,0,0,0
289,1,0,0,0,0,0
290,1,0,0,0,0,0
295,1,0,0,0,0,0
296,1,0,0,0,0,0
297,1,0,0,0,0,0
298,1,0,0,0,0,0
299,1,0,0,0,0,0
300,1,0,0,0,0,0
301,1,0,0,0,0,0
302,1,0,0,0,0,0
303,1,0,0,0,0,0
304,1,0,0,0,0,0
305,1,0,0,0,0,0
306,1,0,0,0,0,0
307,1,0,0,0,0,0
308,1,0,0,0,0,0
309,1,0,0,0,0,0
310,1,0,0,0,0,0
311,1,0,0,0,0,0
312,1,0,0,0,0,0
313,1,0,0,0,0,0
314,1,0,0,0,0,0
315,1,96,150,110,20,330000
316,1,92,110,150,15,247500
317,1,93,145,110,5,79750
318,1,0,0,0,0,0
319,1,121,110,150,20,330000
320,1,0,0,0,0,0
321,1,0,0,0,0,0
322,1,0,0,0,0,0
323,1,218,130,160,23,478400
324,1,161,150,130,30,585000
325,1,215,150,130,30,585000
326,1,0,0,0,0,0
327,1,0,0,0,0,0
328,1,0,0,0,0,0
329,1,0,0,0,0,0
330,1,0,0,0,0,0
331,1,0,0,0,0,0
332,1,173,150,125,30,562500
333,1,112,160,100,10,160000
334,1,60,125,105,30,393750
335,1,0,0,0,0,0
341,1,0,0,0,0,0
342,1,0,0,0,0,0
343,1,0,0,0,0,0
344,1,0,0,0,0,0
345,3,0,0,0,0,0
346,3,0,0,0,0,0
347,3,0,0,0,0,0
348,3,0,0,0,0,0
349,3,0,0,0,0,0
350,3,0,0,0,0,0
351,3,0,0,0,0,0
352,3,0,0,0,0,0
353,3,0,0,0,0,0
354,3,0,0,0,0,0
355,3,0,0,0,0,0
356,3,0,0,0,0,0
357,3,0,0,0,0,0
358,3,0,0,0,0,0
359,3,0,0,0,0,0
360,3,0,0,0,0,0
361,3,0,0,0,0,0
362,3,0,0,0,0,0
363,3,0,0,0,0,0
364,3,0,0,0,0,0
365,3,0,0,0,0,0
366,3,0,0,0,0,0
367,4,0,0,0,0,0
368,4,0,0,0,0,0
369,4,0,0,0,0,0
370,4,0,0,0,0,0
371,4,0,0,0,0,0
372,4,0,0,0,0,0
373,4,0,0,0,0,0
374,4,0,0,0,0,0
375,4,0,0,0,0,0
376,4,0,0,0,0,0
377,4,0,0,0,0,0
378,4,0,0,0,0,0
379,4,0,0,0,0,0
380,4,0,0,0,0,0
381,4,0,0,0,0,0
382,4,0,0,0,0,0
383,4,0,0,0,0,0
391,2,228,140,130,10,182000
392,2,0,0,0,0,0
393,2,0,0,0,0,0
394,2,0,0,0,0,0
395,2,505,180,110,50,990000
396,2,515,190,120,60,1368000
397,2,0,0,0,0,0
398,2,0,0,0,0,0
399,2,0,0,0,0,0
400,2,0,0,0,0,0
401,2,0,0,0,0,0
402,2,0,0,0,0,0
403,2,0,0,0,0,0
404,2,0,0,0,0,0
405,2,0,0,0,0,0
406,2,0,0,0,0,0
407,2,0,0,0,0,0
408,2,450,100,140,150,2100000
409,2,483,90,90,100,810000
410,2,0,0,0,0,0
411,2,314,65,105,45,307125
412,2,349,165,130,33,707850
413,2,188,150,150,30,675000
414,2,0,0,0,0,0
415,2,0,0,0,0,0
416,2,0,0,0,0,0
417,2,0,0,0,0,0
418,2,0,0,0,0,0
419,2,0,0,0,0,0
420,2,0,0,0,0,0
421,2,0,0,0,0,0
