1000,,小堀酒造店,萬歳樂　通,1800ml,1209,1380,171,12.39130435,1年,15度,─,約109/100ml,,,,1000,894,437,125,70,19,16
1001,,清洲桜醸造,清洲城信長　鬼ころしﾊﾟｯｸ,3L,1078,1200,122,10.16666667,1年,─,─,約109/100ml,,,,1001,521,507,124,70,19,16
1002,,霧島酒造,黒霧島25°芋焼酎パック,1800ml,1288,1705,417,24.45747801,─,25度,─,約146/100ml,,,,1002,645,507,125,70,19,16
1003,,三和酒類,いいちこ25°麦焼酎パック,1800ml,1233,1600,367,22.9375,─,25度,─,約146/100ml,,,,1003,770,507,124,70,19,16
1004,,薩摩酒造,神の河25°麦焼酎,720ml,856,1139,283,24.84635645,─,25度,─,約146/100ml,,,,1004,894,507,125,70,19,16
1005,,立山酒造,銀嶺立山　特別本醸造,1200ml,1099,1378,279,20.2467344,1年,15～16度,─,約109/100ml,,,,1005,521,576,124,70,19,16
1006,,チョーヤ,梅酒　自然の想い　はちみつ,325ml,447,600,153,25.5,1年,15度,─,,,,,1006,645,576,125,70,19,16
1007,,ニッカウヰスキー,ブラックニッカ　クリア,700ml,658,798,140,17.54385965,─,0.37,─,約237/100ml,,,,1007,770,576,124,70,19,16
1008,,サントリー,ウイスキー角瓶,700ml,1052,1391,339,24.37095615,─,40%,─,約237/100ml,,,,1008,894,576,125,70,19,16
1009,,シャトー勝沼,無添加 赤ワイン 甘口,720ml,688,1017,329,32.35004916,─,13％未満,─,約73/100ml,,,,1009,521,645,124,70,19,16
1010,,シャトー勝沼,無添加 白ワイン 甘口,720ml,688,1017,329,32.35004916,─,13％未満,─,約73/100ml,,,,1010,645,645,125,70,19,16
1011,,シャトー勝沼,生産者還元ワイン　赤,1500ml,907,1280,373,29.140625,─,12%,─,73/100ml,,,,1011,770,645,124,70,19,16
1012,,シャトー勝沼,生産者還元ワイン　白,1500ml,907,1280,373,29.140625,─,13%,─,73/100ml,,,,1012,894,645,125,70,19,16
