232,,石川県産他,たい　刺身パック,1人前,280,398,118,29.65,当日,─,─,142/100g,竹本商店,③,,yotsuba005_sliced_,49.jpg,0,501,130,91,1
233,,静岡県産他,冷凍・まぐろ刺身さく,200g,660,880,220,25,加工日より３ヶ月,─,─,106/100g,竹本商店,,,yotsuba005_sliced_,50.jpg,130,501,126,91,1
234,,石川県産他,冷凍・するめいか刺身,80g,240,332,92,27.71,加工日より３ヶ月,─,─,88/100g,竹本商店,,,yotsuba005_sliced_,51.jpg,255,501,126,91,1
235,,八葉水産,しめさば　,1枚,200,298,98,32.89,5日,─,─,339/100g,イケウチ,,,yotsuba005_sliced_,52.jpg,381,501,130,91,1
236,,岡田水産,子持ちからふとししゃも,10尾,140,218,78,35.78,5日,─,─,177/100g,七尾魚市場,④,,yotsuba005_sliced_,57.jpg,0,570,130,91,1
237,,番井商店,一味ふぐ,5枚,310,438,128,29.22,5日,─,─,84/100g,イケウチ,,,yotsuba005_sliced_,58.jpg,130,570,126,91,1
238,,島倉水産,いかみりん　小,1ﾊﾟｲ,150,218,68,31.19,4日,─,小麦,─,竹本商店,,,yotsuba005_sliced_,59.jpg,255,570,126,91,1
239,,荒与商店,いわし糠漬(袋入り),2尾,220,322,102,31.68,60日,─,─,─,七尾魚市場,,,yotsuba005_sliced_,60.jpg,381,570,130,91,1
240,,カネク水産,天日乾燥しらす干し,38g,100.7,189,88.3,46.72,解凍日から6日,─,─,206/100g,七尾魚市場,⑤,パック6.8円含める,yotsuba005_sliced_,65.jpg,0,639,130,91,1
241,,マルイチ,辛子明太子　無色(ロシア産),90g,230,358,128,35.75,8日,─,─,126/100g,イケウチ,,,yotsuba005_sliced_,66.jpg,130,639,126,91,1
242,,ヤマヒコ,生わかめ　韓国産,300g,95,138,43,31.16,60日,─,─,11/100g,カナカン日配,,,yotsuba005_sliced_,67.jpg,255,639,126,91,1
243,,山忠食品工業,味付もずく　三杯酢,70g*3,90,132,42,31.82,30日,─,小麦,24/1個,全日本食品,,,yotsuba005_sliced_,68.jpg,381,639,130,91,1
